@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 {0,1,2,3}

@data
21,'2024/04/25 14:55:29:754',1,517.09906,334.485443,-0.000898,36.662994,15.639404,1.506806,70.410675,8.135712,0.792332,97.237396,4.854523,0.396557,117.625366,13.231171,1.961191,71.499054,33.565155,5.582582,100.682556,62.999878,7.189957,117.29599,82.122864,5.94514,129.01062,97.043884,4.496087,52.184906,49.397003,7.538255,78.784515,86.469543,10.112687,93.598877,110.689346,9.532802,104.46344,129.000473,8.721313,30.974213,59.55188,9.047653,48.663422,94.833771,11.526317,59.473694,118.580444,11.57032,67.837799,135.72757,11.179031,9.93045,64.19223,10.071291,18.178741,93.255188,12.287869,23.329315,111.848099,12.914105,28.743408,127.983948,12.815028,?
22,'2024/04/25 14:55:29:756',1,514.028381,336.901947,-0.001002,34.402283,11.069794,4.602583,67.573761,0.976257,6.74499,94.910797,13.359009,9.162837,116.576538,22.91156,11.938341,67.897919,43.092377,3.385046,94.545166,68.876038,4.593678,110.559082,87.500748,4.464479,122.516205,102.565796,4.270405,48.549072,57.35965,3.975768,71.187225,90.338242,5.295644,85.183014,113.245346,6.308322,95.662598,130.163895,6.87077,27.93222,65.37793,5.430863,41.621826,97.106781,7.38735,50.751984,118.674652,9.606246,58.431885,133.932632,11.061074,7.12619,67.605225,7.374803,12.271637,93.166779,9.958365,16.575287,110.138474,12.107927,21.888824,124.611862,13.267294,?
23,'2024/04/25 14:55:29:815',1,513.982483,338.490082,-0.001079,34.019226,9.708832,9.185996,64.999146,3.899689,13.889944,90.794556,21.023041,18.57243,113.184631,33.694916,23.678894,66.045502,45.364624,8.33648,91.171692,71.489716,12.1916,107.147369,91.300598,14.365882,119.604858,107.644211,16.152981,45.835663,56.923615,8.952117,65.996216,90.314301,13.528507,79.694244,113.326324,17.536951,90.602539,130.094482,20.551086,24.614868,62.456299,10.984421,35.239777,93.615128,16.399555,43.913147,112.984467,22.492706,51.627075,125.967514,26.982052,3.299225,62.874054,13.857392,6.293182,86.834961,19.513298,10.689606,101.100784,24.557064,16.371399,112.281891,28.28503,?
24,'2024/04/25 14:55:29:817',1,515.089417,337.319305,-0.001224,35.824768,8.282745,8.923133,67.924469,5.652954,12.043174,94.552551,25.607086,15.148826,116.637085,39.503937,18.513519,66.831818,44.587616,1.33102,88.858185,69.902985,4.089988,102.460785,90.072311,7.818908,113.235321,107.261459,11.253174,47.927124,56.024445,1.867756,65.653168,89.573669,5.621434,77.830627,112.047852,12.491657,86.123444,126.563324,18.788246,27.277985,61.045959,4.245514,36.806274,89.067856,11.252342,37.556458,89.745651,21.142138,36.839844,85.365372,28.425001,5.000854,62.033112,7.359583,10.322144,84.022247,14.098444,12.336945,86.89032,21.504223,13.420807,84.613525,28.051197,?
25,'2024/04/25 14:55:29:883',1,514.938416,337.547119,-0.001361,38.159821,5.845154,9.619486,68.044922,9.254517,13.128601,91.087799,29.222107,16.885109,109.870911,44.111084,20.869123,66.97702,46.43866,0.240919,86.580536,71.175873,4.38594,100.036743,90.36348,10.611114,110.88678,106.84671,15.920969,47.185516,55.301239,0.830269,62.743896,88.198196,6.218134,74.990967,108.689362,15.837016,83.547363,121.865997,23.717228,26.034821,58.26709,3.370167,33.842102,85.167511,10.966014,36.422852,85.394592,22.426874,37.499847,80.796143,30.711617,3.659271,57.54892,6.832544,8.120789,76.67572,13.956258,11.198181,78.27713,22.236401,13.603333,75.310547,29.392509,?
26,'2024/04/25 14:55:29:885',1,514.745483,337.247742,-0.001434,38.026123,4.518463,9.236923,67.933624,10.363312,12.611974,91.494873,30.136902,16.609049,109.121033,46.260162,20.876736,66.460236,47.103973,2.6379,84.953186,72.337769,1.223141,98.183655,91.385986,7.845531,108.154755,106.890106,13.678333,46.807587,54.578064,1.520523,61.442352,86.413528,5.954326,68.992737,99.83226,18.497236,72.020813,106.214951,27.178509,25.82785,57.753174,1.498617,33.799835,87.11525,10.524807,37.520477,90.101974,24.209017,38.244965,86.246796,33.027603,3.810547,57.774963,5.309326,7.978577,78.809357,13.729836,12.148712,80.905121,23.18325,14.516693,76.756989,30.302385,?
27,'2024/04/25 14:55:29:976',1,503.03125,328.464813,-0.001293,30.515137,8.853729,16.574095,56.153564,3.980103,25.497555,75.646149,21.455872,33.465069,92.608856,34.388123,41.874645,57.012848,39.169067,16.936506,77.378754,63.804596,25.865223,90.847778,79.744431,33.535255,100.944855,91.196274,39.880436,37.728149,48.989746,15.977114,51.710236,78.707916,25.75326,61.71817,91.124329,35.549458,68.283051,96.3311,43.690754,16.603149,52.788177,17.092478,22.018738,79.766785,29.40517,27.012604,84.917145,42.519993,30.256958,83.532776,51.737133,5.617004,52.049683,19.242773,5.070953,70.594604,31.051222,2.777985,73.438034,41.218731,0.655121,71.464569,49.322918,?
28,'2024/04/25 14:55:29:977',1,504.719025,326.212158,-0.001756,30.858612,12.143951,14.683513,56.718018,0.15213,24.817669,75.414276,16.174835,34.547001,92.286194,28.107788,45.871548,57.771637,32.541779,22.396,80.004211,57.01062,34.011463,92.340424,73.460846,41.863239,100.957886,85.663208,47.496758,38.002228,42.496948,22.843023,56.713196,71.994293,34.595291,68.754059,88.597046,43.08987,78.318665,99.643173,50.073814,16.608124,47.805084,24.647326,26.836823,73.839447,36.534931,34.248596,86.56662,47.466763,40.539215,93.526123,56.110672,5.659607,49.172943,27.393612,2.59256,67.766632,38.446598,1.033875,75.807205,47.572277,5.637024,80.524643,55.127583,?
29,'2024/04/25 14:55:30:060',1,507.256958,328.65509,-0.001412,31.902832,14.743988,10.521339,61.796753,3.244354,19.880323,82.536163,14.007782,29.299479,99.58902,27.595581,40.495949,57.78656,32.32016,24.225536,77.822937,62.416809,33.824615,87.570618,83.778671,36.743881,94.230133,101.108078,38.246845,37.008057,42.554718,26.772245,56.299194,76.74025,37.949802,67.724884,100.56102,42.850826,76.757996,118.447296,46.009594,15.112976,48.867157,29.835295,29.235382,79.48407,40.956623,39.630249,100.415436,48.404831,48.029358,115.155441,53.535084,7.66333,51.185181,33.29985,1.303345,75.552963,43.098179,3.791809,90.808655,49.944157,10.128296,103.402145,54.832092,?
30,'2024/04/25 14:55:30:062',1,520.828979,335.659241,-0.001217,34.814392,12.638519,6.189707,66.408203,0.11377,10.462598,90.041565,18.573639,15.240498,112.864471,32.194214,20.661539,66.539093,37.992249,9.113859,87.031189,67.167267,13.547749,99.744141,88.764374,14.64818,109.836029,107.170578,15.191309,47.714661,50.064453,11.630038,69.27005,82.196106,17.16922,84.049347,106.468781,20.528313,96.513092,125.950897,22.636866,27.474915,57.404633,14.962934,44.310577,87.258377,21.102436,56.915894,109.593277,25.520538,67.845428,127.031143,28.548275,5.926086,60.01593,18.826647,14.756897,85.501678,24.633678,21.623718,103.340149,28.82185,29.560669,119.847015,31.672493,?
31,'2024/04/25 14:55:30:146',1,519.822876,335.04184,-0.001073,32.386688,15.373962,2.754197,64.692139,4.962585,4.092265,89.648804,10.29657,6.556379,112.200073,18.552979,9.634749,68.908264,39.587494,1.022722,92.579102,68.278534,2.365019,107.765381,88.068344,1.877459,119.575989,104.312851,1.488695,50.615356,53.848602,3.950062,73.600433,86.4431,6.243392,88.317352,109.180496,8.081964,100.712128,127.161453,9.031837,29.470276,62.477814,7.980613,42.15979,93.997955,11.288725,50.901398,116.068695,14.604081,58.950928,133.250336,16.834234,7.294434,65.172394,12.313293,13.223267,90.696899,16.619991,17.4776,107.946945,19.979694,22.837616,124.215286,22.172226,?
32,'2024/04/25 14:55:30:148',1,523.565552,339.328888,-0.001276,33.248108,12.379974,8.003484,66.716095,1.154022,11.722282,93.506622,14.228943,15.886737,118.269897,23.152649,20.438997,72.409393,46.911499,4.830864,96.614624,74.820862,7.614458,112.877777,94.2285,8.971905,125.888702,110.603485,10.17894,52.900482,60.913147,6.521605,75.635406,93.289963,9.624984,91.31601,115.908783,13.111259,104.519531,133.68219,15.523115,31.374725,68.77005,9.820392,44.650574,100.081787,13.936797,54.922607,121.919983,18.448559,64.193451,138.423889,21.714521,8.615662,71.01593,14.080175,13.579102,97.16806,19.021494,18.50412,115.694061,23.195375,24.506012,132.509232,26.163471,?
